time,date,itemid,price,discount,price_before_discount,stock,sold,item_status,cmt_count,liked_count,item_name,is_latest
1657418360,20220710,8897653002,10,35%,16,28838,4,normal,8,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1657330773,20220709,8897653002,10,35%,16,28838,4,normal,8,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1657245178,20220708,8897653002,10,35%,16,28838,4,normal,8,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1657211447,20220707,8897653002,10,35%,16,28838,4,normal,8,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1657158921,20220707,8897653002,10,35%,16,28838,0,normal,8,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1657142162,20220706,8897653002,10,35%,16,28838,0,normal,8,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1657072795,20220706,8897653002,10,35%,16,28838,0,normal,7,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1656985751,20220705,8897653002,10,35%,16,28838,0,normal,7,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1656953964,20220704,8897653002,10,35%,16,28838,0,normal,7,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1656944233,20220704,8897653002,10,35%,16,28838,6,normal,7,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1656899921,20220704,8897653002,10,35%,16,27998,6,normal,7,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1656862880,20220703,8897653002,10,35%,16,27998,6,normal,7,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1656813342,20220703,8897653002,10,35%,16,27914,6,normal,7,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1656726364,20220702,8897653002,10,35%,16,27914,6,normal,7,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1656695032,20220701,8897653002,10,35%,16,27914,6,normal,7,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1656640769,20220701,8897653002,10,35%,16,27914,10,normal,7,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1656553814,20220630,8897653002,10,35%,16,27914,10,normal,7,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1656467473,20220629,8897653002,10,35%,16,27914,10,normal,7,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1656380968,20220628,8897653002,10,35%,16,27914,10,normal,7,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1656294767,20220627,8897653002,10,35%,16,27914,10,normal,7,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1656208342,20220626,8897653002,10,35%,16,27914,10,normal,7,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1656121727,20220625,8897653002,10,35%,16,27914,10,normal,7,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1656035104,20220624,8897653002,10,35%,16,27914,10,normal,7,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1655948633,20220623,8897653002,10,35%,16,27914,10,normal,7,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1655862801,20220622,8897653002,10,35%,16,27914,10,normal,7,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1655775925,20220621,8897653002,10,35%,16,27914,10,normal,7,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1655689427,20220620,8897653002,10,35%,16,27914,10,normal,7,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1655603319,20220619,8897653002,10,35%,16,27914,10,normal,7,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1655516599,20220618,8897653002,10,35%,16,27914,10,normal,7,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1655452792,20220617,8897653002,10,35%,16,27914,10,normal,7,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1654073180,20220601,8897653002,10,35%,16,27918,34,normal,6,5,"[in stock]100 Peças Terminais Elétricos Ilhós Tubular Simples Pré Isolado 2,5mm  VE",False
1662075864,20220901,10190871203,445,,0,12460,3,banned,32,85,Luvas De Goleiro De Futebol Adidas Americano Respirável,True
1662074398,20220901,10190871203,445,,0,12460,3,banned,32,85,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1662072097,20220901,10190871203,445,,0,12460,3,banned,32,85,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1662070733,20220901,10190871203,445,,0,12460,3,banned,32,85,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1662068486,20220901,10190871203,445,,0,12460,3,banned,32,85,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1662067045,20220901,10190871203,445,,0,12460,3,banned,32,85,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1662064882,20220901,10190871203,445,,0,12460,3,banned,32,85,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1662063599,20220901,10190871203,445,,0,12460,3,banned,32,85,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1662061050,20220901,10190871203,445,,0,12460,3,banned,32,85,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1662059710,20220901,10190871203,445,,0,12460,3,banned,32,85,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1662058180,20220901,10190871203,445,,0,12460,3,banned,32,85,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1662056701,20220901,10190871203,445,,0,12460,3,banned,32,85,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1662054424,20220901,10190871203,445,,0,12460,3,banned,32,85,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1662053390,20220901,10190871203,445,,0,12460,3,banned,32,85,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1662051626,20220901,10190871203,445,,0,12460,3,banned,32,85,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1662049608,20220901,10190871203,445,,0,12460,3,banned,32,85,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1662047150,20220901,10190871203,445,,0,12460,3,banned,32,85,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1662045678,20220901,10190871203,445,,0,12460,3,banned,32,85,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1662043258,20220901,10190871203,445,,0,12460,3,banned,32,85,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1662041854,20220901,10190871203,445,,0,12460,3,banned,32,85,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1662039433,20220901,10190871203,445,,0,12460,3,banned,32,85,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1662035868,20220901,10190871203,445,,0,12460,3,banned,32,85,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1662032338,20220901,10190871203,445,,0,12460,3,banned,32,85,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1662030999,20220901,10190871203,445,,0,12460,3,banned,32,85,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1662029060,20220901,10190871203,445,,0,12460,3,banned,32,85,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1662027663,20220901,10190871203,445,,0,12460,3,banned,32,85,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1662025360,20220901,10190871203,445,,0,12460,3,banned,32,85,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1662023923,20220901,10190871203,445,,0,12460,3,banned,32,85,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1662022240,20220901,10190871203,445,,0,12460,3,banned,32,85,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1662020794,20220901,10190871203,445,,0,12460,3,banned,32,85,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1662018075,20220901,10190871203,445,,0,12460,3,banned,32,85,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1662016802,20220901,10190871203,445,,0,12460,3,banned,32,85,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1662013880,20220901,10190871203,445,,0,12460,3,banned,32,85,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1662010681,20220901,10190871203,445,,0,12460,3,banned,32,85,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1662005317,20220901,10190871203,445,,0,12460,3,banned,32,85,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1661997343,20220901,10190871203,142,68%,445,12460,3,banned,32,85,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1661912571,20220831,10190871203,142,68%,445,12460,3,banned,32,85,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1661894236,20220830,10190871203,142,68%,445,12460,3,banned,32,85,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1661825689,20220830,10190871203,142,68%,445,12460,3,banned,32,84,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1661738920,20220829,10190871203,142,68%,445,12460,3,banned,32,84,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1661652675,20220828,10190871203,142,68%,445,12460,3,banned,32,84,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1661565768,20220827,10190871203,142,68%,445,12460,3,banned,32,84,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1661527271,20220826,10190871203,142,68%,445,12460,3,banned,32,84,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1661479412,20220826,10190871203,142,68%,445,12505,3,banned,32,84,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1661427629,20220825,10190871203,142,68%,445,12505,3,banned,32,84,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1661392872,20220825,10190871203,142,68%,445,12535,3,banned,32,84,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1661306330,20220824,10190871203,142,68%,445,12535,3,banned,32,84,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1661220070,20220823,10190871203,142,68%,445,12535,3,banned,32,83,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1661133319,20220822,10190871203,142,68%,445,12535,3,banned,32,83,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1661113150,20220821,10190871203,142,68%,445,12535,3,banned,32,83,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1661046590,20220821,10190871203,142,68%,445,12535,4,banned,32,83,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1661024226,20220820,10190871203,142,68%,445,12535,4,banned,32,83,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1660960372,20220820,10190871203,142,68%,445,12535,3,banned,32,83,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
